Taxon,ID Number,Rank,Trophic Mode,Guild,Confidence Ranking,Growth Form,Trait,Notes,Source/Citation
Ceratobasidium cereale,107799,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,Cause of sharp eyespot of cereals (Murray & Burpee 1984),"Murray DI, Burpee LL. 1984. Transactions of the British Mycological Society 82:170-172 [Link]; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 [Link] (pro parte)"
Ceratobasidium oryzae-sativae,132939,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,Cause of aggregate sheath spot of rice (Lanoiselet et al. 2007),"Lanoiselet VM, et al. 2007. Crop Protection 26:799-808 [Link]; The American Phytopathological Society Common Names of Plant Diseases [Link]"
Ceratobasidium ramicola,327613,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Ceratocoma,25156,Genus,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Ceratocystidaceae,515438,Family,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,"Most species are necrotrophs, infecting plant tissues through wounds caused by human intervention, sap-feeding insects, etc. Most termperate species are associated with bark beetles in a similar manner to the Ophiostomataceae (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Ceratocystis adiposa,294190,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Ceratocystis coerulescens,294204,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Ceratocystis fimbriata,167245,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Ceratocystis moniliformis,294217,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Ceratocystis paradoxa,294224,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Ceratocystis ulmi,282606,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Ceratomyces,891,Genus,Pathotroph,Animal Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Ceratomycetaceae,81888,Family,Pathotroph,Animal Parasite,Probable,Microfungus,NULL,Epibiotic or weakly parasitic on insect cuticles (Cannon & Kirk 2007),"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Ceratophacidium,892,Genus,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Ceratopycnidium,7536,Genus,Pathotroph,NULL,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Ceratorhiza,11042,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Ceratorhiza ramicola,131641,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Ceratospermopsis,896,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Ceratostomella fimbriata,252160,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Cercidospora,905,Genus,Pathotroph,Lichen Parasite,Possible,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
